product_name,image_address,product_category,product_price,product_quantity
Aashirvaad Whole Wheat Atta , https://m.media-amazon.com/images/I/91REmKyE84L._SL1500_.jpg , Groceries , 250 , 5000g
Daawat Basmati Rice , https://www.daawat.com/cbss-html/img/sajakaar_biryani.png , Groceries , 180 , 1000g
Tata Salt , https://m.media-amazon.com/images/I/614mm2hYHyL._AC_UF10001000_QL80_.jpg , Groceries , 20 , 1000g
Fortune Sunflower Oil , https://m.media-amazon.com/images/I/71AgCOCoKYL.jpg , Groceries , 120 , 1000ml
MDH Chana Masala , https://m.media-amazon.com/images/I/71I8gjgxL8L.jpg , Groceries , 55 , 100g
Patanjali Honey , https://akmedicalhall.com/wp-content/uploads/2023/06/Patanjali-Honey-1623930300-10014750-1.jpg , Groceries , 70 , 250g
Kissan Mixed Fruit Jam , https://assets.unileversolutions.com/v1/85811802.png , Groceries , 150 , 500g
Maggi 2-Minute Noodles , https://m.media-amazon.com/images/I/71T0QfFl+3L._AC_UF10001000_QL80_.jpg , Groceries , 12 , 70g
Kellogg's Corn Flakes , https://m.media-amazon.com/images/I/81SJpjHr-TL.jpg , Groceries , 150 , 475g
Saffola Masala Oats , https://m.media-amazon.com/images/I/7188-BLPvgL.jpg , Groceries , 15 , 39g
Tata Tea Premium , https://m.media-amazon.com/images/I/51QF8woKr5S._AC_UF8941000_QL80_.jpg , Groceries , 270 , 1000g
Bru Instant Coffee , https://m.media-amazon.com/images/I/61Jp1Huid5L._AC_UF10001000_QL80_.jpg , Groceries , 150 , 100g
Bournvita Health Drink , https://m.media-amazon.com/images/I/61oRJDWrXRL.jpg , Groceries , 480 , 750g
Haldiram's Moong Dal , https://m.media-amazon.com/images/I/713LiwcYtxL.jpg , Groceries , 90 , 200g
Britannia Marie Gold Biscuits , https://m.media-amazon.com/images/I/71lW1X33nCL.jpg , Groceries , 30 , 250g
Parle-G Biscuits , https://m.media-amazon.com/images/I/71bufOt9zAL._AC_UF10001000_QL80_.jpg , Groceries , 25 , 200g
Amul Butter , https://m.media-amazon.com/images/S/aplus-media/sota/95d868ed-6acd-4efc , Groceries , 45 , 100g
Mother Dairy Toned Milk , https://m.media-amazon.com/images/I/61HE-sygCHL.jpg , Groceries , 50 , 1000ml
Nestle Everyday Dairy Whitener , https://m.media-amazon.com/images/I/71x9onReBAL.jpg , Groceries , 200 , 400g
Aashirvaad Salt , https://m.media-amazon.com/images/I/81Jv9RTTQUL.jpg , Groceries , 22 , 1000g
Everest Garam Masala , https://m.media-amazon.com/images/I/717Oqd6-FGL._AC_UF10001000_QL80_.jpg , Groceries , 60 , 100g
Fortune Mustard Oil , https://m.media-amazon.com/images/I/71wVU7pgwAL.jpg , Groceries , 130 , 1000ml
Tata Sampann Toor Dal , https://www.tatanutrikorner.com/cdn/shop/files/Tata-Sampann-T , Groceries , 120 , 1000g
MTR Ready-to-Eat Paneer Tikka Masala , https://shop.mtrfoods.com/cdn/shop/products , Groceries , 150 , 300g
Haldiram's Aloo Bhujia , https://www.shutterstock.com/image-photo/guwahati-assam-india-september- , Groceries , 50 , 200g
Lizol Disinfectant Floor Cleaner , https://m.media-amazon.com/images/I/41VPo084XAL._SX300_SY300_QL70_F , Household Essentials , 150 , 1000ml
Harpic Power Plus Toilet Cleaner , https://m.media-amazon.com/images/I/61fQA+kazoL.jpg , Household Essentials , 85 , 500ml
Colin Glass Cleaner Spray , https://www.jiomart.com/images/product/original/491418196/colin-glass , Household Essentials , 30 , 3pcs
Scotch-Brite Scrub Pad , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKkmGP , Household Essentials , 100 , 750ml
Vim Dishwash Liquid Gel , https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd , Household Essentials , 99 , 750ml
Dettol Liquid Handwash Refill , https://m.media-amazon.com/images/I/51tYPygTuTL._AC_UF10001000_QL80_.jpg , Household Essentials , 500 , 2000g
Surf Excel Matic Front Load Detergent Powder , https://www.hul.co.in/content-images/92ui5egz/production/a9c8addbe96a6205bdb572a942bf68d6 , Household Essentials , 210 , 2L
Comfort Fabric Conditioner , https://www.shutterstock.com/image-photo/maharashtra-pune-18-august-2024-600nw-2504504997.jpg , Household Essentials , 55 , 10g
Godrej Aer Pocket Bathroom Fragrance , https://i0.wp.com/wisycart.com/wp-content/uploads/2023/05/Rose-Blossom-jpg.webp , Household Essentials , 90 , 50g
Odonil Room Freshening Gel , https://aapkabazar.co/_next/image?url=https%3A%2F%2Fimage.aapkabazar.co%2Fproduct%2F3161 , Household Essentials , 72 , 45ml
All Out Ultra Mosquito Repellent Refill , https://www.allout.in/_/media/raid/products/All%20Out%20Ultra%20Power%20Plus%20Slider30ba.png?la , Household Essentials , 77 , 45ml
Good Knight Gold Flash Refill , https://m.media-amazon.com/images/I/61khbUrrDyL.jpg , Household Essentials , 150 , 20g
Hit Anti-Roach Gel , https://gcplgoodknightstg.blob.core.windows.net/godrejhit/products/28967910bb66114227c2181.png , Household Essentials , 50 , 2pcs
Mortein Rat Kill Cake , https://m.media-amazon.com/images/I/61MQRUqdsKL.jpg , Household Essentials , 60 , 100g
Patanjali Agarbatti , https://www.patanjaliayurved.net/assets/product_images/400x500/1688624420AgarbattiMogra150g1.png , Household Essentials , 150 , 1pc
Gala No Dust Broom , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaxxlw0uf3xD3imwVHJXYEPUH7Oq39wZPOTg&s , Household Essentials , 120 , 1pc
Scotch-Brite Floor Wiper , https://m.media-amazon.com/images/I/51HsBCtnWNL._AC_UF10001000_QL80_.jpg , Household Essentials , 200 , 20L
Milton Plastic Bucket , https://assets.myntassets.com/w_412q_60dpr_2fl_progressive/assets/images/25832368/2023/11/10/f6b034bc-cef8-41e9-8c1b-79 , Household Essentials , 450 , 1pc
Cello Supreme Mop , https://m.media-amazon.com/images/I/610Pyq1vMML._AC_UF8941000_QL80_.jpg , Household Essentials , 150 , 1pc
Prestige Kitchen Tongs , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr86OaH7YQ7BZQkZkmOY_QQJFmi8Xb_rt6Ew&s , Household Essentials , 1200 , 5L
Pigeon Pressure Cooker , https://m.media-amazon.com/images/I/514M+UZ5bhL.jpg , Household Essentials , 800 , 1pc
Hawkins Non-Stick Tawa , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJgH9vJneKRHUQHd2anl8uzuxT23nikKVr8Q&s , Household Essentials , 600 , 3pcs
Borosil Glass Mixing Bowl Set , https://homedecorlo.com/cdn/shop/products/41fnTR1JvKL_530x@2x.jpg?v=1624679678 , Household Essentials , 900 , 1000ml
Milton Thermosteel Flask , https://m.media-amazon.com/images/I/81p-bO+f1nL.jpg , Household Essentials , 3500 , 2-burner
Prestige Gas Stove , https://shop.bajajelectricals.com/cdn/shop/files/iX22BURNER.jpg?v=1726742529 , Personal Care & Hygiene , 199 , 200ml
Nivea Men Body Lotion , https://m.media-amazon.com/images/I/51eGAdW-XKL.jpg , Personal Care & Hygiene , 250 , 250ml
Dove Men+Care Body Wash , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw5rJnE-fK-UM3Uf5eF807lwWCo8mC7GiS-A&s , Personal Care & Hygiene , 150 , 250ml
Listerine Mouthwash , https://m.media-amazon.com/images/I/51tWWUWL+aL._SL1000_.jpg , Personal Care & Hygiene , 99 , 100g
Colgate Total Toothpaste , https://m.media-amazon.com/images/I/61f+32QXZML.jpg , Personal Care & Hygiene , 50 , 100g
Set Wet Hair Gel , https://m.media-amazon.com/images/I/51H3WlgYvEL.jpg , Personal Care & Hygiene , 150 , 100g
Himalaya Men Face Wash , https://rukminim2.flixcart.com/image/850/1000/kp5sya80/face-wash/h/b/x/pimple-clear-neem-himalaya-men-original-i , Personal Care & Hygiene , 99 , 100g
Gillette Shaving Cream , https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQHak6XX82TUZTrSP_9r4IzbSvSEWdUM9efLGN21cKlXs4P , Personal Care & Hygiene , 190 , 100g
